ra,dec,kepmag,teff,logg,feh,radius,mass,dens
293.260925,44.868889,13.749,5637,4.399,-0.3,0.943,0.81,1.365
282.250214,44.921108,16.257,3485,4.786,0.3,0.461,0.47,6.786
284.754852,44.956032,13.949,6000,4.45,0.16,1.044,1.12,1.388
291.225189,44.92738,14.651,5478,4.43,0,0.942,0.87,1.469
291.848053,44.96822,12.52,5678,4.484,0.26,0.97,1.04,1.613
291.959991,44.900021,15.77,5380,4.564,-0.2,0.785,0.82,2.401
283.256805,45.08778,13.354,5286,4.568,-0.26,0.76,0.78,2.502
286.047119,45.053211,15,6220,4.414,-0.1,1.066,1.07,1.243
283.150696,45.139832,9.364,6325,4.264,0.01,1.361,1.24,0.6892
290.99527,45.192211,13.223,6194,4.242,-0.04,1.314,1.1,0.6808
293.511078,45.136589,15.987,3903,4.721,-0.1,0.537,0.55,5.028
290.973419,45.290321,14.779,5435,4.495,-0.02,0.873,0.87,1.84
294.973511,45.213692,13.58,5695,4.556,-0.16,0.839,0.92,2.199
297.711853,45.261921,13.431,5881,4.315,0.07,1.171,1.03,0.9054
299.268036,45.227428,15.434,4135,4.711,-0.46,0.542,0.55,4.866
283.212738,45.349861,13.725,4924,4.654,-0.36,0.661,0.73,3.547
285.345825,45.367779,14.447,5607,4.447,-0.34,0.886,0.8,1.623
286.398621,45.343529,15.228,5653,4.551,-0.04,0.857,0.95,2.13
291.18338,45.32317,14.808,5275,4.59,0,0.787,0.88,2.551
291.880035,45.387932,12.848,5508,3.897,0.1,1.988,1.14,0.2036
296.064331,45.428619,13.996,5878,4.005,0.24,1.812,1.21,0.287
287.917908,45.592869,14.129,5475,4.43,0.24,0.982,0.95,1.407
287.798187,45.656712,13.987,5772,4.351,-0.38,1.003,0.82,1.149
300.102356,45.762138,14.678,5763,4.15,0.26,1.457,1.09,0.4981
288.164703,45.816509,15.843,5941,4.533,-0.22,0.885,0.97,1.98
294.02301,45.853081,15.237,6035,4.22,-0.28,1.257,0.96,0.6785
299.136169,45.86993,14.623,5594,4.395,-0.32,0.935,0.79,1.366
294.513245,45.98164,14.465,5657,4.441,-0.08,0.947,0.9,1.497
295.22879,45.97102,14.028,4500,4.642,-0.02,0.664,0.7,3.389
296.06424,45.976841,15.596,5569,4.546,0.21,0.887,1.01,2.037
285.190002,46.027962,11.485,6106,4.263,0.33,1.359,1.24,0.6966
287.391998,46.059311,15.843,5910,4.505,-0.02,0.94,1.03,1.75
289.077545,46.005219,13.988,5900,4.022,0,1.694,1.1,0.3187
292.580444,46.097389,15.065,5553,4.221,0.16,1.25,0.95,0.6847
294.325531,46.002251,13.693,5106,4.555,0.06,0.794,0.83,2.321
294.559174,46.062328,12.654,5854,3.9,0.31,2.192,1.38,0.188
294.635864,46.066422,12.264,10899,3.802,0.07,3.746,3.24,0.08694
296.960266,46.034302,14.327,6266,4.101,-0.28,1.522,1.07,0.4259
297.315979,46.023258,15.471,5188,4.4,0.32,0.973,0.87,1.326
299.896515,46.051971,12.957,5208,4.563,-0.14,0.772,0.8,2.432
288.011902,46.117611,15.214,6032,4.465,-0.02,1.001,1.06,1.496
293.213562,46.175129,13.474,6412,4.44,-0.3,1.04,1.08,1.359
293.728058,46.12915,13.998,6086,4.274,-0.16,1.216,1.01,0.793
294.15332,46.166439,16.144,5324,4.603,-0.22,0.751,0.83,2.763
287.887329,46.276241,12.791,5779,4.339,-0.06,1.087,0.94,1.033
293.03775,46.277519,13.294,6167,4.037,-0.12,1.689,1.14,0.3314
294.865509,46.285851,15.127,5543,4.54,0.21,0.887,1,2.008
295.412811,46.266472,13.967,5497,4.394,0.38,1.046,0.99,1.216
282.629669,46.32336,13.435,5853,4.292,0.16,1.226,1.07,0.821
283.241302,46.378471,13.552,5618,4.586,-0.38,0.771,0.84,2.57
292.499634,46.324409,15.378,5774,4.447,-0.1,0.958,0.94,1.503
292.855743,46.391178,14.29,5970,4.521,-0.18,0.908,1,1.877
294.948578,46.438641,12.485,4661,4.609,0.02,0.702,0.73,2.975
298.736115,46.498634,17.475,3327,5.113,-0.38,0.189,0.17,35.26
284.940979,46.56654,15.473,4035,4.691,-0.1,0.573,0.58,4.402
294.068481,46.57933,15.223,4954,4.462,0.44,0.885,0.83,1.681
296.498596,46.57724,14.615,6343,4.411,0.07,1.137,1.21,1.164
297.842407,46.574268,15.801,3782,4.748,-0.02,0.509,0.53,5.647
285.240845,46.668251,13.958,6022,4.263,0.32,1.345,1.21,0.7
287.03952,46.640129,14.307,6305,4.458,-0.26,1.011,1.07,1.454
288.211945,46.615002,15.219,5926,4.532,-0.2,0.887,0.98,1.971
293.981567,46.687752,15.2,5964,4.484,-0.22,0.933,0.97,1.681
294.496979,46.689758,15.726,5620,4.363,-0.32,0.974,0.8,1.217
287.369476,46.768219,12.996,5945,4.402,0.16,1.089,1.09,1.191
288.738983,46.762562,13.764,5788,4.16,0.26,1.495,1.18,0.4966
289.921448,46.74456,12.805,6170,4.192,0.24,1.499,1.28,0.5357
292.67807,46.726711,13.147,6279,4.292,0.18,1.323,1.25,0.7634
296.803436,46.74115,13.573,6178,4.269,-0.04,1.267,1.08,0.7515
298.482819,46.793621,13.297,5729,4.514,0.21,0.939,1.05,1.787
286.971191,46.868359,9.958,9107,3.867,0.07,3.031,2.47,0.1247
287.101105,46.896481,14.598,5675,4.338,-0.18,1.042,0.86,1.074
289.786224,46.858791,15.342,5271,4.543,0.14,0.838,0.89,2.14
291.506165,46.895741,13.177,4502,4.635,-0.26,0.637,0.64,3.48
293.679199,46.85276,9.439,5460,4.498,0.08,0.893,0.92,1.811
296.654755,46.83527,13.749,5244,4.538,-0.04,0.81,0.83,2.191
287.389191,46.984489,15.846,10932,4.056,0.07,2.615,2.84,0.2235
287.906097,46.937771,15.063,5431,4.563,0.12,0.843,0.94,2.223
288.839355,46.98674,14.279,5795,4.528,-0.3,0.853,0.89,2.032
295.002808,46.987331,14.415,5772,4.528,0,0.901,1,1.921
295.297913,46.920471,15.178,5636,4.489,-0.26,0.867,0.85,1.826
297.509857,46.961262,15.157,4722,4.61,0.2,0.733,0.8,2.863
